500;2;0.003000;747;504;3;1;2;65.876155;65.876155;
1650500;4;17.138000;5543718;1677078;12995;207;12994;50.193607;50.202155;49.659881;
1660500;4;17.169000;5583537;1687181;13073;208;13072;50.195581;50.203243;49.716679;
1670500;4;17.360000;5623356;1697284;13151;209;13150;50.197526;50.204324;49.772935;
1680500;4;17.423000;5663175;1707389;13230;210;13229;50.195778;50.201597;49.832419;
1690500;4;17.661000;5704015;1717751;13310;211;13309;50.197850;50.202700;49.895080;
1700500;4;18.149000;5743834;1727856;13388;213;13387;50.196057;50.203760;49.714079;
1710500;4;17.863000;5783653;1737961;13467;214;13466;50.194344;50.201084;49.772722;
1720500;4;17.938000;5823312;1748022;13544;215;13543;50.198689;50.204685;49.823461;
1730500;4;17.988000;5864152;1758384;13624;216;13623;50.200692;50.205744;49.884711;
1740500;4;18.139000;5903971;1768491;13703;218;13702;50.195375;50.203099;49.711599;
1750500;4;18.366000;5943790;1778594;13781;219;13780;50.197233;50.204131;49.765298;
1760500;4;18.413000;5983609;1788697;13859;220;13858;50.199078;50.205151;49.818502;
1770500;4;18.614000;6023428;1798802;13938;221;13937;50.197406;50.202553;49.874805;
1780500;4;18.544000;6064268;1809166;14018;223;14017;50.195835;50.203595;49.709231;
1790500;4;18.880000;6104087;1819269;14096;224;14095;50.197648;50.204601;49.761736;
1800500;4;18.893000;6143906;1829372;14174;225;14173;50.199446;50.205592;49.813773;
1810500;4;19.456000;6183725;1839477;14253;226;14252;50.197813;50.203054;49.868841;
1820500;4;19.296000;6224565;1849839;14333;227;14332;50.199718;50.204070;49.926909;
1830500;4;19.857000;6264384;1859944;14411;229;14410;50.198041;50.205047;49.758331;
1840500;4;20.198000;6304203;1870049;14490;230;14489;50.196443;50.202553;49.812683;
1850500;4;19.962000;6344022;1880152;14568;231;14567;50.198202;50.203533;49.863137;
1860500;4;19.775000;6383841;1890255;14646;232;14645;50.199931;50.204497;49.913158;
1870500;4;20.126000;6424681;1900621;14727;234;14726;50.195120;50.202069;49.758450;
1880500;4;20.213000;6464500;1910724;14805;235;14804;50.196855;50.203035;49.808277;
1890500;4;20.264000;6504319;1920827;14883;236;14882;50.198571;50.203987;49.857675;
1900500;4;20.385000;6544138;1930932;14962;237;14961;50.197016;50.201577;49.909995;
1910500;4;20.561000;6584018;1941050;15040;238;15039;50.199098;50.202921;49.958548;
1920500;4;21.358000;6624858;1951414;15120;240;15119;50.197632;50.203886;49.804054;
1930500;4;20.962000;6664677;1961519;15199;241;15198;50.196110;50.201514;49.855721;
1940500;4;21.111000;6704496;1971622;15277;242;15276;50.197782;50.202449;49.903697;
1950500;4;21.366000;6744315;1981725;15355;243;15354;50.199441;50.203378;49.951277;
1960500;4;21.871000;6785155;1992091;15436;245;15435;50.194854;50.201068;49.803231;
1970500;4;22.281000;6824974;2002194;15514;246;15513;50.196507;50.201991;49.850638;
1980500;4;21.862000;6864793;2012297;15592;247;15591;50.198147;50.202909;49.897655;
1990500;4;21.718000;6904612;2022400;15670;248;15669;50.199771;50.203817;49.944292;
2000500;4;21.909000;6944431;2032507;15749;250;15748;50.195149;50.201525;49.792953;
2010500;4;22.635000;6985271;2042869;15829;251;15828;50.196891;50.202453;49.845750;
2020500;4;21.964000;7025090;2052972;15907;252;15906;50.198497;50.203350;49.891854;
2030500;4;22.462000;7064909;2063077;15986;253;15985;50.197042;50.201094;49.940716;
2040500;4;23.479000;7104728;2073180;16064;254;16063;50.198627;50.201989;49.986077;
2050500;4;22.484000;7144547;2083285;16142;256;16141;50.197144;50.202875;49.834884;
2060500;4;22.866000;7185387;2093649;16223;257;16222;50.195829;50.200676;49.889355;
2070500;4;23.330000;7225206;2103752;16301;258;16300;50.197405;50.201560;49.934209;
2080500;4;22.830000;7265025;2113855;16379;259;16378;50.198958;50.202435;49.978724;
2090500;4;22.965000;7304844;2123964;16458;262;16457;50.191492;50.200248;49.639570;
2100500;4;23.223000;7345684;2134326;16538;263;16537;50.193177;50.201143;49.690534;
2110500;4;22.963000;7384763;2144242;16615;264;16614;50.193325;50.200628;49.732132;
2120500;4;25.448000;7425603;2154603;16695;265;16694;50.194967;50.201490;49.782356;
2130500;4;24.328000;7465422;2164708;16773;267;16772;50.193549;50.202342;49.638947;
2140500;4;24.980000;7505241;2174813;16852;268;16851;50.192195;50.200210;49.686011;
2150500;4;23.780000;7545060;2184916;16930;269;16929;50.193718;50.201060;49.729784;
2160500;4;23.791000;7585900;2195278;17010;270;17009;50.195349;50.201925;49.779090;
2170500;4;23.858000;7625719;2205385;17089;272;17088;50.191111;50.199825;49.641252;
2180500;4;24.243000;7665538;2215488;17167;273;17166;50.192625;50.200665;49.684545;
2190500;4;24.115000;7705357;2225591;17245;274;17244;50.194122;50.201500;49.727528;
2200500;4;24.288000;7745176;2235694;17323;275;17322;50.195609;50.202329;49.770191;
2210500;4;24.539000;7786016;2246058;17404;276;17403;50.194397;50.200281;49.821133;
2220500;4;25.283000;7825835;2256163;17482;278;17481;50.193043;50.201107;49.683139;
2230500;4;25.054000;7865654;2266266;17560;279;17559;50.194511;50.201926;49.725347;
2240500;4;24.982000;7905473;2276371;17639;280;17638;50.193210;50.199887;49.770081;
2250500;4;25.463000;7946313;2286733;17719;281;17718;50.194778;50.200724;49.817299;
2260500;4;25.053000;7986132;2296838;17797;283;17796;50.193446;50.201533;49.681776;
2270500;4;25.149000;8025951;2306943;17876;284;17875;50.192164;50.199524;49.726031;
2280500;4;25.144000;8065770;2317046;17954;285;17953;50.193607;50.200331;49.767196;
2290500;4;25.337000;8105589;2327149;18032;286;18031;50.195037;50.201132;49.808073;
2300500;4;25.435000;8146429;2337515;18113;288;18112;50.191145;50.199170;49.683209;
2310500;4;25.681000;8186248;2347618;18191;289;18190;50.192573;50.199968;49.723952;
2320500;4;26.029000;8226067;2357721;18269;290;18268;50.193990;50.200760;49.764419;
2330500;4;25.919000;8266387;2367951;18348;291;18347;50.195394;50.201500;49.807314;
2340500;4;26.487000;8306206;2378056;18427;292;18426;50.194141;50.199551;49.849918;
2350500;4;26.284000;8346025;2388161;18505;294;18504;50.192863;50.200334;49.719263;
2360500;4;26.701000;8385844;2398264;18583;295;18582;50.194251;50.201108;49.759051;
2370500;4;26.708000;8426684;2408628;18664;296;18663;50.193131;50.199207;49.806578;
2380500;4;26.751000;8466503;2418731;18742;297;18741;50.194506;50.199982;49.845805;
